scientificName	class_color	order_color	phylum	class	order
Charinus_ioanniticus	"#1F78B4"	"black"	Arthropoda	Arachnida	Amblypygi
Uloborus_diversus	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Argiope_bruennichi	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Oedothorax_gibbosus	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Agelena_koreana	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Carrhotus_xanthogramma	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Ebrechtella_tricuspidata	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Leucauge_blanda	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Octonoba_yesoensis	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Philodromus_spinitarsis	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Dysdera_bandamae	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Schizocosa_ocreata	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Heptathela_yanbaruensis	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Trichonephila_senegalensis	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Stegodyphus_dumicola	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Macrothele_yani	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Haplopelma_hainanum	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Ariadna_lateralis	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Cheiracanthium_lascivum	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Oxyopes_macilentus	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Weintrauboa_contortipes	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Prochora_praticola	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Turinyphia_yunohamensis	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Phoneutria_boliviensis	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Crossopriza_lyoni	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Loxosceles_rufescens	"#1F78B4"	"blue"	Arthropoda	Arachnida	Araneae
Hyalomma_asiaticum	"#1F78B4"	"#9ECAE1"	Arthropoda	Arachnida	Ixodida
Dermacentor_nuttalli	"#1F78B4"	"#9ECAE1"	Arthropoda	Arachnida	Ixodida
Ornithodoros_erraticus	"#1F78B4"	"#9ECAE1"	Arthropoda	Arachnida	Ixodida
Phytoseiulus_persimilis	"#1F78B4"	"#4292C6"	Arthropoda	Arachnida	Mesostigmata
Varroa_destructor	"#1F78B4"	"#4292C6"	Arthropoda	Arachnida	Mesostigmata
Ornithonyssus_sylviarum	"#1F78B4"	"#4292C6"	Arthropoda	Arachnida	Mesostigmata
Dermanyssus_gallinae	"#1F78B4"	"#4292C6"	Arthropoda	Arachnida	Mesostigmata
Tropilaelaps_mercedesae	"#1F78B4"	"#4292C6"	Arthropoda	Arachnida	Mesostigmata
Blomia_tropicalis	"#1F78B4"	"#2171B5"	Arthropoda	Arachnida	Sarcoptiformes
Sarcoptes_scabiei	"#1F78B4"	"#2171B5"	Arthropoda	Arachnida	Sarcoptiformes
Rhizoglyphus_robini	"#1F78B4"	"#2171B5"	Arthropoda	Arachnida	Sarcoptiformes
Alaskozetes_antarcticus	"#1F78B4"	"#2171B5"	Arthropoda	Arachnida	Sarcoptiformes
Dermatophagoides_farinae	"#1F78B4"	"#2171B5"	Arthropoda	Arachnida	Sarcoptiformes
Liocheles_australasiae	"#1F78B4"	"#08306B"	Arthropoda	Arachnida	Scorpiones
Centruroides_vittatus	"#1F78B4"	"#08306B"	Arthropoda	Arachnida	Scorpiones
Nebo_hierichonticus	"#1F78B4"	"#08306B"	Arthropoda	Arachnida	Scorpiones
Heterometrus_laoticus	"#1F78B4"	"#08306B"	Arthropoda	Arachnida	Scorpiones
Tetranychus_urticae	"#1F78B4"	"black"	Arthropoda	Arachnida	Trombidiformes
Artemia_sinica	"green"	"black"	Arthropoda	Branchiopoda	Anostraca
Daphnia_sinensis	"green"	"#ffed6f"	Arthropoda	Branchiopoda	Diplostraca
Daphnia_carinata	"green"	"#ffed6f"	Arthropoda	Branchiopoda	Diplostraca
Moina_macrocopa	"green"	"#ffed6f"	Arthropoda	Branchiopoda	Diplostraca
Diaphanosoma_celebensis	"green"	"#ffed6f"	Arthropoda	Branchiopoda	Diplostraca
Triops_newberryi	"green"	"black"	Arthropoda	Branchiopoda	Notostraca
Craterostigmus_tasmanianus	"#E78AC3"	"black"	Arthropoda	Chilopoda	Craterostigmomorpha
Strigamia_maritima	"#E78AC3"	"black"	Arthropoda	Chilopoda	Geophilomorpha
Scolopendra_subspinipes	"#E78AC3"	"black"	Arthropoda	Chilopoda	Scolopendromorpha
Folsomia_candida	"#FFD92F"	"black"	Arthropoda	Collembola	Entomobryomorpha
Holacanthella_duospinosa	"#FFD92F"	"black"	Arthropoda	Collembola	Poduromorpha
Helicorthomorpha_holstii	"#F0027F"	"black"	Arthropoda	Diplopoda	Polydesmida
Trigoniulus_corallinus	"#F0027F"	"black"	Arthropoda	Diplopoda	Spirobolida
Acartia_tonsa	"#E31A1C"	"#3F007D"	Arthropoda	Hexanauplia	Calanoida
Calanus_glacialis	"#E31A1C"	"#3F007D"	Arthropoda	Hexanauplia	Calanoida
Pseudocalanus_acuspes	"#E31A1C"	"#3F007D"	Arthropoda	Hexanauplia	Calanoida
Rhincalanus_gigas	"#E31A1C"	"#3F007D"	Arthropoda	Hexanauplia	Calanoida
